lat,lng,country
44.8353,11.6199,Italy
41.4676,12.9037,Italy
40.9319,14.1956,Italy
45.5836,9.2736,Italy
37.0692,15.2875,Italy
45.695,9.67,Italy
42.4643,14.2142,Italy
46.0667,11.1167,Italy
44.2225,12.0408,Italy
40.7267,8.5592,Italy
45.55,11.55,Italy
42.5667,12.65,Italy
46.5,11.35,Italy
45.45,8.6167,Italy
45.05,9.7,Italy
43.6167,13.5167,Italy
41.2317,16.3083,Italy
46.0667,13.2333,Italy
43.4631,11.8781,Italy
44.1333,12.2333,Italy
40.352,18.1691,Italy
43.9102,12.9133,Italy
41.3167,16.2833,Italy
44.9133,8.62,Italy
44.108,9.8289,Italy
43.9333,10.9167,Italy
43.7167,10.4,Italy
38.91,16.5875,Italy
45.4906,12.2381,Italy
43.85,10.5167,Italy
40.6383,17.9458,Italy
40.7853,14.3953,Italy
45.6722,12.2422,Italy
45.612,8.8518,Italy
45.8103,9.0861,Italy
37.7981,12.4342,Italy
42.7722,11.1089,Italy
45.5333,9.2333,Italy
40.8231,14.1222,Italy
45.8167,8.8333,Italy
41.7667,12.2333,Italy
40.9,14.3,Italy
44.9,8.2069,Italy
45.55,9.2167,Italy
41.0667,14.3333,Italy
37.0667,14.25,Italy
36.925,14.7306,Italy
45.1853,9.155,Italy
45.1333,10.0333,Italy
44.7833,10.885,Italy
39.2291,9.2649,Italy
40.8167,16.55,Italy
44.3531,11.7147,Italy
42.354,13.392,Italy
44.0333,10.1333,Italy
38.0175,12.515,Italy
42.4186,12.1042,Italy
39.3,16.25,Italy
40.6333,15.8,Italy
40.7,14.4833,Italy
40.9167,14.3167,Italy
36.95,14.5333,Italy
39.0833,17.1167,Italy
41.6693,12.5021,Italy
45.3167,8.8667,Italy
44.0833,10.1,Italy
37.4915,14.0624,Italy
43.8672,10.2506,Italy
41.1256,14.7811,Italy
43.8435,13.0198,Italy
44.308,8.481,Italy
40.6667,16.6,Italy
40.9167,9.5,Italy
45.5781,8.9183,Italy
40.95,14.3667,Italy
40.9,14.1833,Italy
41.2,16.6,Italy
37.3111,13.5765,Italy
44.2856,11.8833,Italy
41.2667,15.9,Italy
45,7.6833,Italy
42.9561,12.7033,Italy
41.6333,15.9167,Italy
41.9667,12.8,Italy
44.3833,7.55,Italy
41.2667,16.4167,Italy
41.2409,16.5021,Italy
41.1083,16.6917,Italy
38.0833,13.5,Italy
40.8197,14.3411,Italy
36.8672,14.7614,Italy
43.8175,7.775,Italy
42.6589,13.7039,Italy
42.5119,14.1373,Italy
40.9153,14.7897,Italy
43.3183,11.3314,Italy
45.6649,8.7914,Italy
41.6667,12.7833,Italy
40.7008,14.7056,Italy
41.6951,15.3793,Italy
40.973,14.2065,Italy
40.8068,14.3526,Italy
41.4472,12.6283,Italy
37.6125,15.1656,Italy
42.1,11.8,Italy
37.6517,12.5875,Italy
45.0809,11.794,Italy
45.9626,12.6563,Italy
40.6167,14.9833,Italy
45.5333,9.0333,Italy
42.3511,14.1674,Italy
40.7536,14.5253,Italy
43.7544,11.1894,Italy
37.5183,15.0069,Italy
41.4667,12.6667,Italy
41.6167,12.55,Italy
45.0833,7.5833,Italy
45.2189,12.2785,Italy
45.1564,10.7911,Italy
41.561,14.6684,Italy
40.9167,14.35,Italy
43.8333,11.2,Italy
40.95,17.3,Italy
40.7,17.3333,Italy
42.8547,13.5753,Italy
45.0725,7.5272,Italy
43.7167,10.95,Italy
41.15,16.4,Italy
45.85,9.4,Italy
37.5667,14.9,Italy
45,7.65,Italy
45.5286,9.2783,Italy
42.4044,12.8567,Italy
42.9438,13.8833,Italy
45.1333,7.7667,Italy
45.5667,9.1667,Italy
43.8256,11.1333,Italy
41.2833,13.25,Italy
45.3167,8.4167,Italy
43.8756,10.5736,Italy
41.6333,13.35,Italy
40.75,14.6333,Italy
45.6167,9.25,Italy
37.9667,12.9667,Italy
45.3167,9.5,Italy
43.68,10.5003,Italy
45.65,9.2,Italy
40.8333,14.3333,Italy
43.7131,13.2183,Italy
41.7667,12.6667,Italy
45.5664,8.0533,Italy
40.56,8.315,Italy
40.8206,16.4233,Italy
45.7686,11.7367,Italy
45.3833,9.15,Italy
40.7569,14.4444,Italy
43.3068,13.7286,Italy
43.8865,8.0297,Italy
42.031,13.4264,Italy
45.6167,9.2167,Italy
45.6298,12.5641,Italy
43.3003,13.4533,Italy
41.9544,12.0742,Italy
38.15,15.2167,Italy
41.7333,12.6667,Italy
42.05,12.6167,Italy
44.5517,10.7856,Italy
37.5092,13.0889,Italy
46.6689,11.1639,Italy
39.6,16.5167,Italy
43.5228,13.2439,Italy
40.6169,15.0564,Italy
45.7333,9.1333,Italy
45.8833,11.0342,Italy
40.9167,14.4,Italy
41.0333,14.3,Italy
41.35,13.4167,Italy
40.8333,17.3667,Italy
43.4574,12.2403,Italy
45.6255,9.037,Italy
44.9925,9.0092,Italy
45.7111,11.3556,Italy
38.0817,13.2889,Italy
41.0333,14.3833,Italy
38.1333,13.1833,Italy
41.8,12.6,Italy
45.6272,9.1472,Italy
45.4375,12.1329,Italy
41.0833,16.7833,Italy
45.4,9.2833,Italy
37.2333,14.5167,Italy
41.2564,13.6069,Italy
42,12.1,Italy
42.7333,12.7333,Italy
40.9167,14.2333,Italy
40.95,14.3,Italy
45.0689,7.5786,Italy
43.1604,13.7181,Italy
37.1083,13.9469,Italy
41.6,12.8333,Italy
45.0131,7.8228,Italy
45.5,9.3333,Italy
39.5667,16.6333,Italy
40.3201,9.3281,Italy
41.4917,13.8333,Italy
45.55,9.1167,Italy
44.4833,11.2833,Italy
40.5314,17.5858,Italy
44.8833,7.3333,Italy
37.2303,15.2194,Italy
39.3333,16.1833,Italy
37.36,13.8511,Italy
46.1408,12.2156,Italy
37.6625,14.8356,Italy
44.7333,11.2833,Italy
45.49,9.2953,Italy
45.5972,9.13,Italy
45.8872,12.2969,Italy
43.4861,13.4821,Italy
44,12.65,Italy
42.2312,14.3905,Italy
40.9094,14.2098,Italy
40.8725,14.4369,Italy
45.5508,9.3011,Italy
45.4333,9.1167,Italy
45.9352,13.6193,Italy
44.5739,10.8478,Italy
45.5167,9.3333,Italy
45.3667,9.6833,Italy
40.9153,14.2681,Italy
40.7431,14.5694,Italy
45.7372,7.3206,Italy
45.1342,8.4583,Italy
40.9422,14.2348,Italy
42.9348,10.5221,Italy
38.6753,16.0959,Italy
42.0028,14.9947,Italy
45.1167,7.6333,Italy
45.6667,11.9333,Italy
45.35,10.85,Italy
41.5,15.3333,Italy
44.5967,11.0528,Italy
41.0833,14.25,Italy
40.5833,17.1167,Italy
45.4009,8.9185,Italy
45.4167,9.2667,Italy
44.4716,11.4049,Italy
43.9333,10.3,Italy
37.3186,13.6631,Italy
37.5667,15.05,Italy
40.5333,17.4333,Italy
40.9417,14.2722,Italy
38.05,13.1167,Italy
43.3518,12.5773,Italy
39.9058,8.5916,Italy
40.8167,14.6167,Italy
40.8333,14.5,Italy
37.6786,12.7917,Italy
44.6915,8.0256,Italy
43.7625,10.4414,Italy
40.1797,18.0333,Italy
36.9167,15.1333,Italy
45.7753,12.0389,Italy
38.217,15.237,Italy
40.9167,14.2,Italy
40.7322,17.5778,Italy
40.4028,17.6342,Italy
43.4,10.4667,Italy
43.3386,12.9085,Italy
45.9228,8.5519,Italy
40.9333,14.45,Italy
41.2167,16.0667,Italy
36.95,14.6,Italy
45.5214,9.5928,Italy
44.35,9.2333,Italy
44.7,7.85,Italy
37.6,15.15,Italy
38.0333,13.45,Italy
43.6625,10.6328,Italy
43.4667,11.15,Italy
39.2537,9.1606,Italy
45.4689,10.535,Italy
44.85,7.7167,Italy
40.6957,14.5154,Italy
41.1,13.8833,Italy
41.7264,13.3422,Italy
44.25,12.3667,Italy
45.9833,12.3,Italy
43.07,12.6175,Italy
39.1668,8.522,Italy
44.7592,8.7856,Italy
44.6408,11.185,Italy
37.5833,14.9833,Italy
43.3139,10.525,Italy
43.6833,10.85,Italy
40.775,14.475,Italy
45.4931,12.1606,Italy
45.5619,12.2364,Italy
45.5583,8.9477,Italy
40.8667,14.4,Italy
38.0375,12.5875,Italy
40.8,16.9333,Italy
37.7297,15.1844,Italy
44.3164,9.3237,Italy
